R_fighter,B_fighter,R_odds,B_odds,Winner,title_bout,weight_class,finish,finish_details,finish_round,total_fight_time_secs
Roxanne Modafferi,Lauren Murphy,-125,105,Blue,FALSE,Women's Flyweight,U-DEC,,3,900
Austin Hubbard,Max Rohskopf,160,-185,Red,FALSE,Lightweight,KO/TKO,,2,600
Jessica Eye,Cynthia Calvillo,120,-130,Blue,FALSE,Women's Flyweight,U-DEC,,5,1500
Karl Roberson,Marvin Vettori,210,-230,Blue,FALSE,Middleweight,SUB,Rear Naked Choke,1,257
Charles Rosa,Kevin Aguilar,170,-185,Red,FALSE,Lightweight,S-DEC,,3,900
Andre Fili,Charles Jourdain,-220,200,Red,FALSE,Featherweight,S-DEC,,3,900
Jordan Espinosa,Mark De La Rosa,-167,157,Red,FALSE,Bantamweight,U-DEC,,3,900
Mariya Agapova,Hannah Cifers,-335,305,Red,FALSE,Women's Flyweight,SUB,Rear Naked Choke,1,162
Merab Dvalishvili,Gustavo Lopez,-800,635,Red,FALSE,Catch Weight,U-DEC,,3,900
Julia Avila,Gina Mazany,-575,485,Red,FALSE,Women's Bantamweight,KO/TKO,Punches,1,22
Tyson Nam,Zarrukh Adashev,-135,125,Red,FALSE,Bantamweight,KO/TKO,Punch,1,32
Anthony Ivy,Christian Aguilera,-185,170,Blue,FALSE,Welterweight,KO/TKO,Punches,1,59
Amanda Nunes,Felicia Spencer,-600,450,Red,TRUE,Women's Featherweight,U-DEC,,5,1500
Raphael Assuncao,Cody Garbrandt,120,-140,Blue,FALSE,Bantamweight,KO/TKO,Punch,2,599
Aljamain Sterling,Cory Sandhagen,-115,-105,Red,FALSE,Bantamweight,SUB,Rear Naked Choke,1,88
Neil Magny,Anthony Rocco Martin,-135,115,Red,FALSE,Welterweight,U-DEC,,3,900
Eddie Wineland,Sean O'Malley,400,-500,Blue,FALSE,Bantamweight,KO/TKO,Punch,1,114
Alex Caceres,Chase Hooper,168,-195,Red,FALSE,Featherweight,U-DEC,,3,900
Ian Heinisch,Gerald Meerschaert,-130,110,Red,FALSE,Middleweight,KO/TKO,Punch,1,74
Cody Stamann,Brian Kelleher,-250,210,Red,FALSE,Featherweight,U-DEC,,3,900
Charles Byrd,Maki Pitolo,-175,155,Blue,FALSE,Middleweight,KO/TKO,Punches,2,370
Jussier Formiga,Alex Perez,115,-135,Blue,FALSE,Flyweight,KO/TKO,Kick,1,246
Alonzo Menifield,Devin Clark,-225,185,Blue,FALSE,Light Heavyweight,U-DEC,,3,900
Evan Dunham,Herbert Burns,185,-225,Blue,FALSE,Catch Weight,SUB,Rear Naked Choke,1,80
Tyron Woodley,Gilbert Burns,-170,150,Blue,FALSE,Welterweight,U-DEC,,5,1500
Blagoy Ivanov,Augusto Sakai,-105,-115,Blue,FALSE,Heavyweight,S-DEC,,3,900
Billy Quarantillo,Spike Carlyle,-130,110,Red,FALSE,Catch Weight,U-DEC,,3,900
Roosevelt Roberts,Brok Weaver,-360,300,Red,FALSE,Lightweight,SUB,Rear Naked Choke,2,506
Mackenzie Dern,Hannah Cifers,-420,335,Red,FALSE,Women's Strawweight,SUB,Kneebar,1,156
Katlyn Chookagian,Antonina Shevchenko,110,-130,Red,FALSE,Women's Flyweight,U-DEC,,3,900
Daniel Rodriguez,Gabe Green,-335,275,Red,FALSE,Welterweight,U-DEC,,3,900
Jamahal Hill,Klidson Abreu,-117,-103,Red,FALSE,Light Heavyweight,KO/TKO,Knee,1,111
Tim Elliott,Brandon Royval,-162,142,Blue,FALSE,Flyweight,SUB,Arm Triangle,2,498
Louis Smolka,Casey Kenney,230,-270,Blue,FALSE,Bantamweight,SUB,Guillotine Choke,1,183
Chris Gutierrez,Vince Morales,-110,-110,Red,FALSE,Featherweight,KO/TKO,Kick,2,567
Alistair Overeem,Walt Harris,135,-155,Red,FALSE,Heavyweight,KO/TKO,Punches,2,480
Claudia Gadelha,Angela Hill,-255,215,Red,FALSE,Women's Strawweight,S-DEC,,3,900
Dan Ige,Edson Barboza,112,-132,Red,FALSE,Featherweight,S-DEC,,3,900
Krzysztof Jotko,Eryk Anders,-105,-105,Red,FALSE,Middleweight,U-DEC,,3,900
Song Yadong,Marlon Vera,-200,170,Red,FALSE,Featherweight,U-DEC,,3,900
Miguel Baeza,Matt Brown,-155,-155,Red,FALSE,Welterweight,KO/TKO,Punch,2,318
